,count,mean,std,min,25%,50%,max,FechaMax,FechaMin,Nombre,Codigo,ceros,75mayor,75%,99mayor,99%,Ceros %,
40,18864,0.084944869,0.625451302,0,0,0,29.4,2021-04-18-23,2018-01-04-00,CANCHAQUE,X472F86B2,16858,2006,0,174,1.9,0.893659881,
41,28800,0.01759375,0.197277843,0,0,0,12,2021-06-30-23,2018-01-02-00,CANDARAVE,X47E2C2BA,28005,795,0,264,0.5,0.972395833,
42,29904,0.002039861,0.043118407,0,0,0,6.1,2021-06-30-23,2018-01-01-00,CANETE,X113249,29514,390,0,65,0.1,0.986958266,
43,17568,0.090403005,0.525338056,0,0,0,15,2021-06-30-23,2019-05-11-00,CAPACHIQUE,X472EB1D2,15887,1681,0,170,2.2,0.904314663,
44,27888,0.020152037,0.182165976,0,0,0,7.2,2021-06-30-23,2018-01-02-00,CAPLINA,X47E143A0,27029,859,0,254,0.6,0.969198221,
45,15312,0.032007576,0.380258987,0,0,0,39.7,2019-11-08-23,2018-01-02-00,CARAC,X47E323B2,14140,1172,0,152,0.7,0.923458725,
46,28992,0.06861548,0.395874574,0,0,0,10,2021-06-30-23,2018-01-02-00,CARANIA,X472364DC,26342,2650,0,274,1.9,0.908595475,
47,20400,0.314504902,2.024352426,0,0,0,57.4,2021-06-30-23,2018-12-17-00,CAROCURAHUAYTE COHIDRO,X4720F862,18002,2398,0,202,8.6,0.88245098,
48,23544,0.00285423,0.049095889,0,0,0,2.5,2021-06-30-23,2018-01-02-00,CASA GRANDE,X472D30C8,23325,219,0,219,0,0.990698267,
49,23256,0.136700206,0.730555771,0,0,0,51.1,2021-06-30-23,2018-01-02-00,CASACCANCHA,X472A1410,20586,2670,0,220,3.6,0.885190918,
50,28056,0.106290989,0.491103517,0,0,0,16.2,2021-06-30-23,2018-01-02-00,CASAPALCA,X472D73C2,24381,3675,0,271,2.4,0.869011976,
51,26232,0.112480939,0.68513725,0,0,0,25.1,2021-06-30-23,2018-01-02-00,CASCABAMBA,X472C92CA,23266,2966,0,261,2.8,0.886931991,
52,15696,0.026809378,0.228467562,0,0,0,6.3,2021-06-30-23,2018-01-02-00,CASCAS,X472EA2A4,15061,635,0,151,0.8,0.959543833,
53,27792,0.000971503,0.032610267,0,0,0,3.3,2021-03-26-23,2018-01-01-00,CASMA,X4AD03552,27734,58,0,58,0,0.997913069,
54,14808,0.109028903,0.702998567,0,0,0,34.9,2020-05-25-23,2018-01-01-00,CCONTACC,X114122,13388,1420,0,149,2.793,0.904105889,
55,28824,0.101033861,0.680725493,0,0,0,34.2,2021-06-30-23,2018-01-02-00,CELENDIN GORE,X4726631C,26247,2577,0,254,2.7,0.910595337,
56,24696,0.004348882,0.071552627,0,0,0,4.5,2021-06-30-23,2018-01-02-00,CERRO BLANCO,X47E13530,24351,345,0,147,0.1,0.986030126,
57,624,0.263782051,0.807072941,0,0,0,6.9,2018-03-08-23,2018-01-02-00,CHACAPALCA,X111288,479,145,0,6,3.8,0.767628205,
58,22896,0.051563592,0.199913065,0,0,0,4,2021-06-29-23,2018-01-01-00,CHACAS,X4AD013BE,19748,3148,0,218,1,0.862508735,
